jp_address	eu_address	kind	method	confidence	note
80:80DF	80:80DF	script	exact	high	run 0xf5 bytes +code +table +shape; code; crates/crysta-runtime/src/actors/native.rs:51
80:83B2	80:83B2	script	exact	high	run 0x1a2 bytes +code +shape; code; crates/assets/src/maps/actor_script.rs:16
80:A24F	80:A24F	sprite	exact	high	run 0x1cc bytes +code; code; crates/assets/src/sprites/pandora.rs:663 (+1)
80:A255	80:A255	sprite	aligned	medium	gap 0x2e bytes, same length; code; crates/assets/src/sprites/pandora.rs:662 (+2)
80:A261	80:A261	sprite	aligned	medium	gap 0x2e bytes, same length; code; crates/assets/src/sprites/pandora.rs:678 (+2)
80:E85C	80:E85C	map	exact	high	run 0x2af0 bytes +code +table; code; crates/assets/src/maps/collision.rs:17
81:8000	81:8000	music	exact	high	run 0x6840 bytes +code +table +shape; code; crates/assets/src/maps/exits.rs:15 (+5)
81:8001	81:8001	music	exact	high	run 0x6840 bytes +code +table +shape; test; crates/crysta-app/src/music_data.rs:334
81:8002	81:8002	music	exact	high	run 0x6840 bytes +code +table +shape; test; crates/crysta-app/src/music_data.rs:333 (+1)
81:8004	81:8004	music	exact	high	run 0x6840 bytes +shape; test; crates/crysta-app/src/music_data.rs:357
81:8016	81:8016	code	exact	high	run 0x6840 bytes +shape; test; crates/crysta-runtime/src/world.rs:1604
81:8018	81:8018	code	exact	high	run 0x6840 bytes +shape; test; crates/crysta-runtime/src/world.rs:1604
81:88AC	81:88AC	code	exact	high	run 0x6840 bytes +table +shape; test; crates/crysta-runtime/src/world.rs:1605
81:88B8	81:88B8	code	exact	high	run 0x6840 bytes +table +shape; test; crates/crysta-runtime/src/world.rs:1605 (+1)
81:8F42	81:8F42	code	exact	high	run 0x6840 bytes +shape; code; crates/crysta-runtime/src/world.rs:1414 (+2)
81:8F9B	81:8F9B	code	exact	high	run 0x6840 bytes +shape; code; crates/crysta-runtime/src/world.rs:1409 (+2)
81:F462	81:F462	script	exact	high	run 0x1221 bytes +code +shape; code; crates/crysta-runtime/src/actors/ease.rs:11
82:0000	82:0000	bank	bank	high	bank of 5 weighted addresses in it; run 0x8000 bytes +shape +lz; code; crates/assets/src/maps/exits.rs:17
82:8000	82:8000	sprite	exact	high	run 0x202 bytes +code +table +shape; code; crates/assets/src/maps/visual/camera.rs:34 (+5)
82:8002	82:8002	map	exact	high	run 0x202 bytes +table +shape; test; crates/assets/src/maps/visual/pandora.rs:289
82:8014	82:8014	map	exact	high	run 0x202 bytes; code; crates/assets/src/maps/visual/crysta_animation.rs:74 (+1)
82:8020	82:8020	sprite	exact	high	run 0x202 bytes; test; crates/assets/src/sprites/house_npc.rs:206
82:8023	82:8023	map	exact	high	run 0x202 bytes +table; test; crates/assets/src/maps/visual/camera.rs:138
83:0000	83:0000	bank	bank	high	bank of 85 weighted addresses in it; run 0x8000 bytes +shape +lz; code; crates/assets/src/maps/actors.rs:18
83:8000	83:8000	script	exact	high	run 0x19 bytes +code +table +shape; code; crates/assets/src/maps/actors.rs:17 (+8)
83:8002	83:8002	map	exact	high	run 0x19 bytes +table; test; crates/assets/src/maps/visual/camera.rs:98 (+2)
83:8014	83:8014	map	exact	high	run 0x19 bytes +table; code; crates/assets/src/maps/visual/crysta_animation.rs:74 (+2)
83:8015	83:8015	map	exact	high	run 0x19 bytes; test; crates/assets/src/maps/visual/crysta_animation.rs:446
83:8016	83:8016	map	aligned	medium	gap 0x37 bytes, same length; test; crates/assets/src/maps/visual/crysta_animation.rs:293
83:801A	83:801A	sprite	aligned	medium	gap 0x37 bytes, same length; test; crates/assets/src/sprites/house_tests.rs:369 (+1)
83:801E	83:801E	sprite	aligned	high	gap 0x37 bytes, same length +table; test; crates/assets/src/sprites/house_tests.rs:374
83:8020	83:8020	sprite	aligned	high	gap 0x37 bytes, same length +code; test; crates/assets/src/sprites/house_npc.rs:103
83:8023	83:8023	map	aligned	medium	gap 0x37 bytes, same length; test; crates/assets/src/maps/visual/camera.rs:138
83:89A7	83:89A7	map	exact	high	run 0xc bytes; code; crates/assets/src/maps/visual/pandora.rs:122
83:89BF	83:89BF	sprite	exact	high	run 0xc bytes +table; code; crates/assets/src/sprites/pandora_phases.rs:142
83:89C9	83:89C9	sprite	exact	medium	local block 6 bytes; code; crates/assets/src/sprites/pandora_phases.rs:143
